ts	subtopic	brief	prompt	notebook_id	audio	duration_s	wall_s
2026-09-07T05:29:02+00:00	2.1	KP1_M2_2.1_AudioBrief_v0.2.md	KP1_M2_2.1_NotebookLM_Prompt_v0.2.md	5cbdb9dd-534f-4612-a1ca-bb6c1ac473b8	KP1_M2_2.1_Audio_v0.1.m4a	380.2	279
2026-09-07T05:35:01+00:00	2.1	KP1_M2_2.1_AudioBrief_v0.2.md	KP1_M2_2.1_NotebookLM_Prompt_v0.2.md	5cbdb9dd-534f-4612-a1ca-bb6c1ac473b8	KP1_M2_2.1_Audio_v0.2.m4a	243.6	259
2026-09-07T05:43:16+00:00	2.1	KP1_M2_2.1_AudioBrief_v0.2.md	KP1_M2_2.1_NotebookLM_Prompt_v0.2.md	5cbdb9dd-534f-4612-a1ca-bb6c1ac473b8	KP1_M2_2.1_Audio_v0.1.m4a	400.6	249
2026-09-07T06:04:06+00:00	2.1	KP1_M2_2.1_AudioBrief_v0.2.md	KP1_M2_2.1_NotebookLM_Prompt_v0.2.md	5cbdb9dd-534f-4612-a1ca-bb6c1ac473b8	KP1_M2_2.1_Audio_v0.3.m4a	372.4	239
2026-09-07T06:10:52+00:00	2.2	KP1_M2_2.2_AudioBrief_v0.2.md	KP1_M2_2.2_NotebookLM_Prompt_v0.2.md	a654c6f8-b5a0-4bef-a583-d38454ce30f2	KP1_M2_2.2_Audio_v0.1.m4a	319.0	333
2026-09-07T06:18:33+00:00	2.2	KP1_M2_2.2_AudioBrief_v0.2.md	KP1_M2_2.2_NotebookLM_Prompt_v0.2.md	a654c6f8-b5a0-4bef-a583-d38454ce30f2	KP1_M2_2.2_Audio_v0.3.m4a	346.8	397
2026-09-07T06:28:12+00:00	2.2	KP1_M2_2.2_AudioBrief_v0.2.md	KP1_M2_2.2_NotebookLM_Prompt_v0.2.md	a654c6f8-b5a0-4bef-a583-d38454ce30f2	KP1_M2_2.2_Audio_v0.5.m4a	318.0	510
2026-09-07T07:36:37+00:00	2.4	KP1_M2_2.4_AudioBrief_v0.2.md	KP1_M2_2.4_NotebookLM_Prompt_v0.2.md	ade84e2d-3316-4acb-a87a-52be4a3ce3d8	KP1_M2_2.4_Audio_v0.1.m4a	334.6	273
2026-09-07T07:57:44+00:00	2.5	KP1_M2_2.5_AudioBrief_v0.2.md	KP1_M2_2.5_NotebookLM_Prompt_v0.2.md	dedb5af5-d312-4945-9f92-1a97067580d7	KP1_M2_2.5_Audio_v0.1.m4a	405.5	261
2026-09-07T08:03:39+00:00	2.5	KP1_M2_2.5_AudioBrief_v0.2.md	KP1_M2_2.5_NotebookLM_Prompt_v0.2.md	dedb5af5-d312-4945-9f92-1a97067580d7	KP1_M2_2.5_Audio_v0.3.m4a	233.1	282
